#,Occupazione ,Percentuale Femminile (%)
0,Specialista della cura della pelle,98.2
1,Insegnante di scuola materna,96.8
2,Assistente all'infanzia,94.6
3,Assistente di segreteria,92.5
4,Specialista nella cura dei capelli,92.4
5,Assistente dentale,92
6,Specialista in scienze infermieristiche,91.3
7,Psicologo scolastico,90.4
8,Assistente nellâ accoglienza alberghiera,90
9,Specialista in veterinaria,89.8
10,Nutrizionista,89.6
11,Assistente domestico,88.7
12,Terapista,87.1
13,Assistente sociale,86.8
14,Specialista di sartoria,86.5
15,Assistente legale,84.8
16,Assistente bibliotecario,84.2
17,Designer d'interni,83.8
18,Manicurista,83
19,Insegnante di sostegno,82.8
20,Agente di polizia,15.8
21,Autista di taxi,12
22,Specialista in informatica,11.8
23,Specialista in meccanica,9.4
24,Autista di camion,7.9
25,Specialista in ingegneria elettrica,7
26,Assistente alla cura dei giardini,6.2
27,Pilota,5.3
28,Specialista in riparazioni,5.1
29,Agente dei vigili del fuoco,5.1
30,Specialista edile,4.2
31,Macchinista,3.4
32,Specialista in meccanica aeronautica,3.2
33,Specialista in falegnameria,3.1
34,Specialista in manutenzione tetti,2.9
35,Specialista in opere murarie,2.2
36,Specialista in manutenzione di impianti idraulici,2.1
37,Elettricista,1.7
38,Specialista in veicoli,1.2
39,Specialista nella guida di gru,1.1
